run,cores,variant,location,load,query,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms
ResultsRun1,2,sev,local,high,LdbcQuery5,11,2041.7272727272727,2313,2970,2970,3008
ResultsRun1,2,sev,local,high,LdbcQuery6,5,2883.8,2470,5298,5298,5298
ResultsRun1,2,sev,local,high,LdbcQuery7,8,95.25,57,146,281,281
ResultsRun1,2,sev,local,high,LdbcQuery8,15,4.4,3,9,9,14
ResultsRun1,2,sev,local,high,LdbcQuery9,4,3254.75,3283,3500,3500,3500
ResultsRun1,2,sev,local,high,LdbcShortQuery1PersonProfile,290,2.413793103448276,2,4,6,15
ResultsRun1,2,sev,local,high,LdbcShortQuery2PersonPosts,290,6.5137931034482754,5,12,18,29
ResultsRun1,2,sev,local,high,LdbcShortQuery3PersonFriends,290,3.9379310344827587,3,7,12,19
ResultsRun1,2,sev,local,high,LdbcShortQuery4MessageContent,288,2.1493055555555554,2,4,5,7
ResultsRun1,2,sev,local,high,LdbcShortQuery5MessageCreator,288,2.0833333333333335,1,4,4,9
ResultsRun1,2,sev,local,high,LdbcShortQuery6MessageForum,288,2.1944444444444446,1,4,5,9
ResultsRun1,2,sev,local,high,LdbcShortQuery7MessageReplies,288,2.4305555555555554,2,4,5,14
ResultsRun1,2,sev,local,high,LdbcUpdate2AddPostLike,88,7.0,5,12,14,20
ResultsRun1,2,sev,local,high,LdbcUpdate3AddCommentLike,121,6.297520661157025,5,10,13,21
ResultsRun1,2,sev,local,high,LdbcUpdate4AddForum,7,7.142857142857143,6,8,14,14
ResultsRun1,2,sev,local,high,LdbcUpdate5AddForumMembership,297,7.252525252525253,6,11,15,25
ResultsRun1,2,sev,local,high,LdbcUpdate6AddPost,59,9.627118644067796,8,15,20,29
ResultsRun1,2,sev,local,high,LdbcUpdate7AddComment,94,9.51063829787234,8,14,17,26
ResultsRun1,2,sev,local,high,LdbcUpdate8AddFriendship,12,5.833333333333333,5,10,10,12
ResultsRun1,2,sev,remote,low,LdbcQuery1,2,186.0,116,256,256,256
ResultsRun1,2,sev,remote,low,LdbcQuery10,2,606.5,523,690,690,690
ResultsRun1,2,sev,remote,low,LdbcQuery11,4,81.25,81,104,104,104
ResultsRun1,2,sev,remote,low,LdbcQuery12,2,778.0,537,1019,1019,1019
ResultsRun1,2,sev,remote,low,LdbcQuery13,4,58.5,44,99,99,99
ResultsRun1,2,sev,remote,low,LdbcQuery14,1,1235.0,1235,1235,1235,1235
ResultsRun1,2,sev,remote,low,LdbcQuery2,1,162.0,162,162,162,162
ResultsRun1,2,sev,remote,low,LdbcQuery3,1,2108.0,2108,2108,2108,2108
ResultsRun1,2,sev,remote,low,LdbcQuery4,1,105.0,105,105,105,105
ResultsRun1,2,sev,remote,low,LdbcQuery5,1,809.0,809,809,809,809
ResultsRun1,2,sev,remote,low,LdbcQuery7,1,241.0,241,241,241,241
ResultsRun1,2,sev,remote,low,LdbcQuery8,2,132.5,40,225,225,225
ResultsRun1,2,sev,remote,low,LdbcShortQuery1PersonProfile,23,50.47826086956522,40,64,100,101
ResultsRun1,2,sev,remote,low,LdbcShortQuery2PersonPosts,23,57.52173913043478,54,89,92,103
ResultsRun1,2,sev,remote,low,LdbcShortQuery3PersonFriends,23,53.65217391304348,45,89,101,103
ResultsRun1,2,sev,remote,low,LdbcShortQuery4MessageContent,25,42.0,36,62,63,64
ResultsRun1,2,sev,remote,low,LdbcShortQuery5MessageCreator,25,46.04,36,64,89,92
ResultsRun1,2,sev,remote,low,LdbcShortQuery6MessageForum,25,47.36,37,65,87,89
ResultsRun1,2,sev,remote,low,LdbcShortQuery7MessageReplies,24,50.208333333333336,40,85,88,104
ResultsRun1,2,sev,remote,low,LdbcUpdate2AddPostLike,5,47.8,48,58,58,58
